,Name,Category,Business Description,Based in,Tags,Total Funding,Founded,Website,Company Status
134,Contribe,Denmark,"Contribe is turning sustainable actions into a competitive advantage by automating manual work, identifying the right impact partner and increasing transparency",Copenhagen,"sustainability, marketing, commercial, TRansparency",Between €100K-€500K,2022.0,contribe.io,
135,StockHawk,Denmark,"StockHawk independently aggregates news, commentary, analysis, and financial data from over 200 of the leading sources. Then ranks, curates, and shapes it into a neat personal daily email summary with bite-sized updates and links. Skim the day’s developments and analysis in minutes, tailored to your specific stocks.

This next-generation stock tracker lets you stay on top daily, without a major sacrifice in your time and attention, allowing you to focus on managing risks and maximizing opportunities.",Copenhagen,"stocks, portfolio, tracking, fintech",No funding announced yet,2022.0,https://www.stockhawk.io,
136,Probmet,Denmark,"Probmet is a precision oncology therapeutics company that is creating specialised therapies for people with brain metastases from breast cancer. The group will spearhead the creation of innovative, tailored medicines for metastatic breast cancer in the brain, a terrible condition with few available therapeutics.",Copenhagen,"Breast Cancer, Brain Metastatic, Therapeutics",No funding announced yet,2022.0,https://probmet.com/,
137,PerPlant,Denmark,"On a mission to democratise AI in agriculture by promoting sustainable farming with an affordable, plug-and-play camera sensor powered by AI that maximises the use of pesticides and fertiliser and boosts crop output.",Copenhagen,"Sustainable, Pesticides, Fertilizer",No funding announced yet,2022.0,https://www.perplant.ai/,
138,Ousia Pharma,Denmark,Ousia Pharma is a biotech startup focuses on designing and developing pharmacotherapies to enhance the health and quality of life of people who have metabolic disorders and obesity. The company employs a targeted strategy in which peptides are employed to deliver synaptic plasticity modulators to the brain in order to promote effective and long-lasting weight loss without jeopardising safety.,Copenhagen,"Pharma, Biotech, Peptide-drug",Between €500K-€ 1 million,2022.0,https://ousiapharma.com/,
139,SolarHR,Denmark,"SolarHR goal is to Change the world one International Payroll System at a time! Based in Copenhagen, Denmark , the company offers a HR platform that enables to hire from any part of the world. The platform also helps to manage payroll, tax, benefits, bookkeeping and compliance.",Copenhagen,"Human Resources Services, Payroll, online platform",No funding announced yet,2022.0,https://solarhr.io/,
140,Myco4Food,Denmark,A biotechnology research business called Myco4Food creates novel foods with protein alternatives using waste materials. The business recycles solid waste products from the food and agriculture industries using solid-state fermentation techniques.,Copenhagen,"Social Networking, Biotechnology, Solid-state fermentation",No funding announced yet,2022.0,https://www.myco4food.dk,
141,TriptoBIO,Denmark,"TriptoBIO focus is to develop a platform for producing natural plant compounds that will support the health of our planet. The company’s goal is to establish a future where everyone can benefit from the power of plants, without depleting natural resources. They are based in Copenhagen, Denmark.",Copenhagen,"Biotechnology Research, Innovation, Technology",No funding announced yet,2022.0,https://www.triptobio.com/,
142,Horizon3,Denmark,"The goal of Danish investment firm Horizon3 is to build up a sizable portfolio of shares in the most cutting-edge growth companies around the globe. Due to our opposition to short-term quarterly capitalism, we invest in businesses with a least three-year time horizon.",Esbjerg,"Investment, Innovative Growth, Quarterly Capitalism",No funding announced yet,2022.0,https://horizon3.dk/,
143,Heyhack,Denmark,Heyhack is an automated software for penetration testing that checks APIs and web apps for security flaws and assists in patching them. Heyhack regularly performs automated penetration testing to assist contemporary software development teams in identifying and resolving security flaws before hackers do. Visit heyhack.com to test out Heyhack for free.,Copenhagen,"Security, Information Security, Web Vulnerability Scanning, OWASP",Between €1 million-€ 2.5 million,2022.0,https://heyhack.com/,
144,Neurescue,Denmark,"Neurescue, a medical device manufacturer based in Denmark, is developing cardiovascular devices to help emergency patients. Neurescue’s first product, the safeREBOA device, is the first computer-aided aortic occlusion catheter. Our future goal is to enable the potential clinical utility of further intelligent procedures.",Copenhagen,"Biotechnology, Health Care, Medical Device",Between €2.5 million-5 million,2022.0,http://www.neurescue.com/,
145,Growblocks,Denmark,"Growblocks helps B2B scale-ups build predictable revenue growth in a collaborative, data-driven and actionable way - finally. We’re here to introduce a collaborative, data-driven and actionable approach to building predictable revenue growth. We make specialized software that help visionary companies achieve predictable revenue growth.",Copenhagen,"Software, Revenue modeling",Between €1 million-€ 2.5 million,2022.0,https://www.growblocks.com/,
146,Scaleup Finance,Denmark,"SaaS, consultancy, finance. We are a team of experienced finance specialists with start-ups and growing companies as our specialty. We provide CFO-as-a-service and a new digital CXO cockpit that will transform the financial management in small companies.",Copenhagen,"Consulting, Finance, Financial Services, Software",Between €5 million-€10 million,2021.0,https://www.scaleup.finance/,
147,Fullview,Denmark,"Fullview is a B2B platform that develops and distributes software as a service (SaaS) to businesses in order to grow customer technical support. Fullview allows SaaS organizations to rapidly monitor customers' screens, guide them with multiplayer screen control and in-app video calls, and provide speedier live help.",Copenhagen,"B2B, SaaS",Between €1 million-€ 2.5 million,2021.0,https://www.fullview.so/,
148,Weld,Denmark,"The Weld platform allows companies to build powerful data models and metrics, enabling greater insights and expedited decision-making capabilities, as well as streamlining data workflows. The platform is built on top of companies’ own data warehouse and can integrate with the most popular SaaS tools and databases, including the likes of Hubspot, Salesforce and Redshift.",Copenhagen,"Information Technology, Software",Between €2.5 million-5 million,2021.0,https://weld.app/,
150,bluekit,Denmark,"bluekit is the toolkit for managing successful products. All-in-one product management solution that helps shape, validate & launch successful products.",Copenhagen,"Information Technology, Innovation Management, Product Design, Product Management",No funding announced yet,2021.0,https://bluekit.io,
151,BactiQuant,Denmark,"BactiQuant is a biotechnology company aims to monitor bacterial contamination levels in water. A combination of the words 'Bacteria' and 'Quantify', as that is what we do. We help you quantify the amount of bacteria in water! Developed a technology that will revolutionize the monitoring of bacterial contamination levels in water. Offer a truly unique combination of rapid onsite and online analysis of bacterial contamination.",Birkera,"Biotechnology, Water, Water Purification",No funding announced yet,2021.0,http://www.bactiquant.com,
158,Go Autonomous,Denmark,"B2B commerce, simplified. The fastest way for companies to digitize manual quotes and orders.   
Essentially, we are making it easier for companies to communicate with each other in real-time, whether in the form of an email, PDFs, images, or other sources. Our vision and NLP model Saga extract the requested services or products, inject them directly into the company ERP, thereby removing the need for CSRs and salespeople to manually handle vast amounts of, e.g., quotes and orders.  

 - From an average of 48 hours handling time down to seconds  - Up to 30% capacity released in the CSR teams - 100% digital commerce in a previous completely offline channel  
At Go Autonomous™, our purpose is to empower people and enterprises to sustainably run and grow their business in a more autonomous future.   
We are on a mission to accelerate companies' transition to autonomous commerce by making it possible to digitize and automate core sales processes, enabling operations-as-a-service and creating a platform for new ways of doing business.   
By this, the enterprise can deliver superior customer experiences and advance its digital journey with artificial intelligence, autonomy, and experience design as a driving force.",Copenhagen,"B2B, E-Commerce, Platforms, SaaS, Software",Between €2.5 million-5 million,2021.0,https://goautonomous.io,
160,LEAP – The Business Model Game,Denmark,"LEAP is a business game that transforms ideas into profitable business models. More than 10,000 participants from educational institutions and companies from 25 countries have used the tool to rethink existing business models and develop next-generation ones. LEAP is all about serious learning. Join the game!","Århus, Ebeltoft","Educational Games, Serious Games, Gamification, Business Development",No funding announced yet,2021.0,https://www.businessmodelgame.com,
166,kompasbank,Denmark,"Kompasbank is Denmark's newest corporate bank. It is a corporate bank that provides lending to the small- and midsized corporate segment in the Danish market.  This is where curiosity and ingenuity thrive, and this is where tomorrow's solutions emerge. Yet small and medium-sized enterprises do not have sufficient access to finance and therefore cannot reach their full potential.",Vedbaek,"Banking, Finance, Financial Services",Between €10 million-€25 million,2021.0,https://www.kompasbank.dk/,
170,Bioomix,Denmark,"Bioomix is a biotechnology company that develops all-natural microbial products that can help farmers achieve a higher and better yield. It was founded in 2021 and its headquarters is located in Odense, Denmark. Bioomix is a Danish biotech company based in Odense. We are developing all-natural microbial products that can help farmers achieve a higher and better yield with fewer chemicals and emissions. Our vision is to eliminate the use of pesticides, antibiotics and synthetic fertilizers in agriculture to ensure a sustainable future.
We have developed a unique approach and technology platform that enables us to rapidly discover new beneficial microorganisms.",Odense,"Agriculture, Biotechnology, Microbiology",No funding announced yet,2021.0,http://www.bioomix.com,
171,Nordic Sales Force,Denmark,"We can help you with every aspect of the sales process for you to establish yourself or grow your current market share on the Nordic market. From lead generation to relationship building and closing the deal.

Our core offering includes an ongoing sales effort, market insights, and monthly reporting from a dedicated sales manager picked from our team of highly skilled sales professionals. The prices in the 5 Nordic countries are on average 38,5% higher than in the European Union in general. Moreover, Eurostat data shows that the overall purchasing power in this region is 26,7% higher than the EU average.",Tilst,"B2B, Consulting, Direct Sales, SaaS",No funding announced yet,2021.0,http://www.nordicsalesforce.com,
172,ARENSBAK,Denmark,"ARENSBAK is a cutting-edge sensory experience that alters perceptions and challenges the alcohol industry. ARENSBAK was founded by Christian Arensbak. ARENSBAK is the new, innovative sensory experience that changes reality and disrupts the alcohol sector. ARENSBAK IS ENJOYED AS WINE - THE TASTE IS COMPLETELY ITS OWN. ARENSBAK attracts and enriches people who are looking for the good taste experience and have an attitude towards the good life. Our coat of arms bears the words ""Vita Bona Sine Vino"", which means ""The good life without wine"".",Kobenhoved,"Food and Beverage, Wine And Spirits, Winery",No funding announced yet,2021.0,https://arensbak.com,
173,Dynasty Studios,Denmark,"Dynasty Studios is a VC-backed, next-generation gaming company working with blockchain technology to deliver rich, high-quality gameplay that will shape the future of gaming. 

We follow a gamer first ethos and work to establish a new realm that will support both gaming and blockchain communities. Together we are creating new superior player experiences and blazing a trail that is second to none. We ourselves at Dynasty, are gamers at heart and therefore believe gameplay comes first!

Our established team of veteran game developers all share an inherent passion for player-driven experiences, and we are on a mission to create projects that puts the gamer first! Ordinary games become extraordinary when you work in unity with your community!.",Copenhagen,"Blockchain, Gaming, Computer Games",Between €5 million-€10 million,2021.0,https://dynastystudios.io/,
174,EvodiaBio,Denmark,"EvodiaBio is a bio-industrial firm that creates natural, sustainable scents for the food and beverage industries. Founded in 2021 and is based in Copenhagen, Capital Region. EvodiaBio was established as a commercial company in 2021 rooted in research conducted by three of its co-founders at the University of Copenhagen. 
Our drive is to create a better future for our planet by re-inventing aromatic compounds and eliminate the need for extracting aromas from plants or synthesizing them using petrochemicals, harmful catalysts and solvents.",Copenhagen,"Biotechnology, Biotechnology Research, Sustainable",No funding announced yet,2021.0,https://evodiabio.com,
175,PathoPulse,Denmark,"PathoPulse delivers up-to-date solutions for digital pathology with a special focus on teaching and training of pathologists based on digitized slides and patient cases. Our mission is to redefine how teaching and training in pathology is done. We want to boost the value of digitized slides, increase the amount of skills and level of standardization in pathology with the ultimate goal of improving patient care. PathoPulse was founded by M.Sc. Andreas Schønau in 2021. Andreas brings more than 20 years of experience delivering innovative and high-quality diagnostic products and solutions to the field of pathology.",Soborg,"Information Services, Information Technology, Digital Pathology",No funding announced yet,2021.0,https://pathopulse.com/,
176,PEATZ,Denmark,"Combining data from satellites, drones, and ground sensors, in a user-friendly interface, to give actionable insights into the current peatland condition, their emission slip as well as benefits and effects of restoration efforts. PEATZ analysis services supply the necessary information to efficiently concentrate peatland restoration efforts and utilize limited resources in the most efficient way possible. We are a passionate team from Denmark, Germany, and the USA, combining environmental knowledge, business and earth observation technology.",Kongens Lyngby,"Geospatial, Environmental Services, Analytics",No funding announced yet,2021.0,https://peatz.eu,
177,Secure Spectrum,Denmark,"Secure Spectrum has emerged as a merger between Secure and Spektrum Fondsmæglerselskab. We are one of Denmark's largest asset managers with DKK 42 billion. under advice and the market's widest product range of both liquid and alternative investment opportunities of the highest quality. Our customers include wealthy people, family offices, foundations and pension companies. We are our customers' Trusted Advisor, and we create trust by being orderly, accessible, professionally skilled and having a common interest with our customers. One of Denmark's largest asset managers - we create trust by being the most skilled, orderly and accessible.",Kongens Lyngby,"Compliance, Consulting, Financial Services",No funding announced yet,2021.0,https://securespectrum.dk/,
178,BettaSensing,Denmark,"BettaSensing develops a sensing technology and software that identifies food and beverage items based on their chemical and flavor profile. BettaSensing will revolutionize R&D and quality control screening methods used to date in the food and beverage industry. Our technology can recognize a product’s taste within seconds, based on its flavor profile. Our sensors are sensitive, and change color upon exposure to different mixtures of flavor compounds. The sensors come along with a software, utilizing advanced AI analysis for calculating the overall response of the sensor strip, and creating a unique “fingerprint” to each product. This ability can support faster new flavor development, as well as a rapid and robust quality screening along the process line.   

Our current efforts in collaboration with Carlsberg aim to speed up new beer flavor development. However, our platform is generic, and can be adapted to many other needs and products across the food market e.g. testing dairy product, beverages, oils, and many more.",Aarhus,"Food and Beverage, Quality Assurance, Sensor",No funding announced yet,2021.0,https://www.bettasensing.com,
179,Home.Earth,Denmark,"Real estate and the urban environment have a profound impact on all of us. We do homes that are people and planet positive. We spend 90% of our lives inside buildings. And by 2050 almost 70% of us will live in cities.

The built environment enables life, community and culture. But at the same time, it fosters loneliness and health issues. It counts for almost 40% of global CO2 emissions. It is the biggest living expense for most people. And nowhere is growing inequality more visible than in how we live.

To overcome the challenges of population growth, climate change, growing inequality and social unrest, we need to move to a more conscious and responsible version of capitalism. A version that is market-based, but with equal priority for all stakeholders and with long-lasting impact.",Copenhagen,"Commercial Real Estate, Real Estate, Residential",No funding announced yet,2021.0,https://www.home.earth,
180,Moonjelly,Denmark,"Moonjelly is a secure funding platform for ocean conservation built on blockchain and design for impact. Moonjelly was founded in 2021 and was headquartered in Copenhagen, Denamark. These incredible, small, transparent animals are capable of lifecycle reversal - actually growing younger instead of older.

Not only can moon jellies regenerate lost body parts, when they are threatened or fall sick, they can resettle back to their early life stage polyps and go on to spawn hordes of clones, essentially living forever.

At our core, we believe in the restorative super powers of nature and we’re here to help allow this natural process take place for the ocean!",Copenhagen,"Blockchain, Cryptocurrency, Funding Platform",No funding announced yet,2021.0,https://www.moonjelly.io/,
181,Omni Blonde,Denmark,"Perfectly Imperfect is our newest product for the blonde girl on the go. It’s about embracing the sexy, unworried, laid-back, messy-on-purpose hair look, so it seems to come naturally. So don’t blame us if your friends start to wonder if you actually did wake up like this. Omni is a latin prefix meaning ‘all’ or ‘every’. = for all and every blonde.

Omniblonde is a name given to a brand and a movement, dedicated to the 2% of the worlds population who are blonde and the 30-40% that choose to be blonde.

Our goal is to provide hair products that incorporate ingredients that address issues most important to our blonde audience. Hair products for all and every blonde!",Copenhagen,"Beauty, Cosmetics, E-Commerce, Personal Health",No funding announced yet,2021.0,https://www.omniblonde.com,
182,WP Dynamic,Denmark,"WP Dynamic is a premium WordPress hosting and management company based in Denmark, Northern Europe. WP Dynamic specialises in deliver fast and reliable WordPress solutions for global brands and businesses, demanding performance, reliability, and compliance. We believe that our customers success is our success and that We play a critical role in ensuring our customers online potential is fully empowered. Our dedication to the safety and success of our customers is second to none - backed up by our 24/7/365 support.",Copenhagen,"Web Hosting, Internet Publishing, Wordpress",No funding announced yet,2021.0,https://wpdynamic.com,
183,MyD2App,Denmark,"D2Apps video-based skilled creator marketplace allows party singers, fitness coaches, tutors, photographers, beauticians, wedding planners, etc., to produce presentation videos easily and sell their services to their local community. Thousands of skilled creators offer their services on Pakistan’s 1st video-based marketplace.
Watch videos of the creators, start communicating directly, and book instantly. Marketplace eliminates the hassle to find your local trustworthy service providers. Check their offerings from their videos and recommendations and book instantly.

Also allows talented Gen Z'ers to monetize their skills from a highly accessible digital marketplace and reach out to the local community in minutes.",Copenhagen,"Mobile Apps, Connectivity, Social Media, Communication",No funding announced yet,2021.0,https://www.myd2app.com,
184,Kople,Denmark,"Workflow and CRM for human-centered projects. Kople is an online platform tailored for NGOs, Non-profits and civil society organizations. Empowering employees and volunteers to manage communication with people involved in development programs, mentoring schemes and volunteer efforts. We are here to help those who help others by making it easy, efficient and enjoyable for organizations to manage their workflows, create more impact and engage with their users. Kople is a one-stop platform that will help your organization run human centered projects like never before.",Copenhagen,"Charity, SaaS, Social CRM, Social Impact",No funding announced yet,2021.0,http://Kople.com,
185,Mammut Hoffmann,Denmark,"At Mammut Hoffmann, we supply workwear and uniforms to our customers. We handle everything from design proposals to distribution of your finished clothing line. With our own factories and designers, we adjust quickly throughout the process if your needs change. We sell uniforms and workwear. Our design team works closely with you to clarify the exact need for your workwear. We have extensive experience with fit, uniformity and characteristic cuts. And we know the importance of design, functional requirements, material selection and price going up in a higher unit.",Næstved,"Fashion, Logistics, Manufacturing, Product Design",No funding announced yet,2021.0,https://www.mammuthoffmann.dk,
186,Appstract,Denmark,"At Appstract we are working to change the way people can shop online. In the physical world we go shopping together with friends and family, but when we shop online, we are very much alone in the shopping experiences, we are offered by the online stores. What most of us do to shop with our friends and family is that we send links and pictures via social media or messaging platforms, because we cannot be with our friends or family in the stores. Appstract Shared Shopping enables stores to provide their customers the ability to invite friends and family into the store, where they will be able to go shopping together, and discuss and compare the products they are shopping. You can initially think of it as Google Docs for shopping, but it is so much more. Our platform enables agencies and ecommerce companies to extend on our basic shared shopping experience and easily build completely custom shared shopping experiences.",Copenhagen,"E-Commerce, Information Technology, Software, Web Development",No funding announced yet,2021.0,https://appstract.co,
187,Karva,Denmark,"LegalTech, Peace of Mind as a Service. Creates security for you and your family. Karva has a mission to deliver “peace of mind as a service” so that all Danes can feel safe in the unpredictable events of the future. Our lawyers make it easy for you to prepare a will, future power of attorney, co-ownership agreement, marriage contract and child will. We guide & hold your hand through each step to ensure you a comfortable and stress-free experience.",Københoved,"Legal Tech, Legal Services, Inheritance Law",Between €100K-€500K,2021.0,https://karva.dk,
188,Frankly Insure,Denmark,"Digital, simple and transparent P2P insurance powered by people, deep tech and IoT. We are in the process of being approved to mediate insurance. It will not be insurance as you know it, but insurance you can understand and be confident in. We want to protect your pets. With our unique benefits, you can say goodbye to poor coverage, useless guarantees and lack of support. We cover everything your pet needs, but you are also free to customize your offer, just as you are free to terminate your insurance at any time.",Christianshavn,"Blockchain, Insurance, InsurTech",No funding announced yet,2021.0,https://franklyinsure.dk/,
189,Northstake,Denmark,"The appetite for crypto assets continues to grow. There continue to be a growing appetite for crypto assets among private, professional and institutional investors, however, there is a lacking maturity in understanding how to acquire, hold and sell crypto assets. Institutional funds move in at an accelerated pace Corporates, private equity, venture capital, traditional asset managers, family offices, a.o. are moving into crypto assets at an accelerated pace leveraging known and new instruments. A growing unmet need for crypto service provider's The growing crypto assets market reveals an unmet need for core crypto infrastructure service of institutional grade quality, which requires a new breed of service providers encompassing cloud infrastructure operations and financial asset management talents At first glance, investing in crypto assets may appear daunting, complex and requiring technical, legal and financial knowhow. Getting exposure necessitates orchestrating multiple and fragmented services. Northstake changes that, giving institutional investors efficient crypto staking, secure crypto custody and intelligent crypto trading - the bridge to institutional crypto assets.",Copenhagen,"Blockchain, Cryptocurrency, Network Hardware, Trading Platform",No funding announced yet,2021.0,https://www.northstake.dk/,
192,Tellero,Denmark,"Tellero is a normal accounting house just digital where we have our own accounting program. We have made Denmark's easiest accounting program, so you have an overview of your finances, and transparency in your accounts, upload vouchers and send out invoices. All you have to do is upload your attachments to us, we'll do the rest. You can also use our invoice module, and send invoices directly to your customers with a single click.",Copenhagen,"Accounting, Financial Services, FinTech, Software",No funding announced yet,2021.0,https://tellero.dk/,
193,Medusa,Denmark,"For developers who must customize e-commerce setups, Medusa is a new digital commerce engine that provides extensibility and customizability with low developer effort. Unlike Shopify, BigCommerce and others, we offer an open, modular architecture that removes the need for hacky workarounds and secures maintainability and speed. API-first ecommerce engine built for scalable businesses. Create a headless commerce store in minutes and start your growth journey on a fast and flexible foundation.",Copenhagen,"Developer APIs, Developer Tools, E-Commerce, E-Commerce Platforms",Between €500K-€ 1 million,2021.0,https://medusajs.com/,
194,Frame aps,Denmark,"SaaS tool for understanding, managing, designing, documenting, and certifying sustainability in construction and real estate. Frame enables actors in construction and real estate to work professionally with sustainability and to comply with demands from certification schemes and legislation. Frame is at once a method for process management of sustainable construction and a tool for sustainable design.

Frame is based on the integration of sustainability in the industry's known phase model, so that sustainability becomes concrete, clear and accessible to all the actors involved in all phases from idea to operation.",Copenhagen,"Apps, Information Technology, Real Estate, Software",Between €5 million-€10 million,2021.0,https://www.openframe.org/,
195,Kassio,Denmark,"Kassio is a unified crypto solution for all financial needs, Kassio one-stop solution to buy, sell, earn, borrow and utilize your cryptos. We encourage all of our consumers to make informed decisions while investing in crypto and thoroughly understand the risk associated with market volatility. Invest responsibly and create wealth with Kassio. Kassio is focussed on a unique value generation for the native crypto users and the new user base who is willing to explore and invest in cryptos.

Kassio, through its unified solution, aims to integrate the idea of ‘crypto utility’ and ‘financial independence’ for its users in a safe and legit environment.

Kassio aspires to serve your unbanked or underbanked needs by offering earning potential up to 13% APY and convenience to utilize your crypto the way you like.",Copenhagen,"FinTech, Cryptocurrency, Blockchain, Bitcoin",Between €1 million-€ 2.5 million,2021.0,https://kassio.com,
201,Epilog ApS,Denmark,"A full-service creative agency working with clients and projects that have a component of social responsibility, sustainability or health.

Our services include videoproduction, social media content, graphic design, animation, brandstrategy and advertising.",Copenhagen,"Agency, content marketing, advertising, brandstrategy",Between €1-€100K,2021.0,https://www.epilog.dk/,
206,(mont.agency),Denmark,"Our startup is a leading-edge subscription agency that is at the forefront of utilizing AI and technology to enhance marketing efforts. Our goal is to provide our clients with the highest level of performance and efficiency, making it easier than ever to achieve their marketing goals. With our client portal we have streamlined communication and made working with us effortless, providing businesses with the support and tools they need without the typical hassles and headaches of a traditional marketing department.",Copenhagen,"marketing, subscription, content, agency",No funding announced yet,2021.0,https://www.mont.agency/,
219,Fairhomes,Denmark,"Vi nytænker måden at investere i fast ejendom - Fairhomes kombinerer teknologi, data og socialt ansvar til gode boliginvesteringer.",Copenhagen,"proptech, fintech, ai, data",Between €100K-€500K,2020.0,https://fairhomes.dk,
222,NGeneR,Denmark,"NGeneR will provide services and products for DNA sequencing, and analyses. Specifically, NGeneR provides a range of products that bring awareness to the customers regarding genetic diseases for affordable prices, by utilizing artificial intelligence.",Copenhagen,"Artificial Intelligence, Biotechnology, Health Care, Software",No funding announced yet,2020.0,https://ngener.io/,
224,Vibrant.io,Denmark,"We’re an app that’s also a payment terminal? That’s right!  
Vibrant is the app your business needs to take easy, fast and secure payments. We’re 100% digital, so your business can take contactless payments wherever and whenever. Just as it should be, right?

No extra hardware needed. No paper receipts. Just an app on an Android.",Aarhus,"fintech, app, payments",Between €2.5 million-5 million,2020.0,https://vibrant.io/?hsLang=en,
225,Reel,Denmark,"Reel is a climate impact start-up aiming to democratize the energy market and accelerate the development of renewable energy on a global level. We see this as a pivotal step towards a zero-carbon economy and avoiding irreversible climate change and damage to life on earth.  Currently, Power Purchase Agreements (PPAs) - an emerging type of renewable energy contract linked to the development of new renewable energy assets - are only available for the largest 1% of companies.  Reel democratizes the renewable energy market by making it possible for groups of SMEs to act as ""one synthetic large company"" and enter into a PPA.",Copenhagen,"renewable energy, Climate change, Tech",Between €1 million-€ 2.5 million,2020.0,https://www.reel.energy/dk/,
227,Butter,Denmark,Butter is a platform to make online meetings and workshops flow as smooth as butter. The tool is built specifically to empower facilitators and hosts by giving them all the tools they need in one place and engaging participants through intuitive features such as the speaker queue and emoji reactions to make everyone feel heard.,Copenhagen,"Virtual Meetings, Online Events, Virtual Spaces",Between €2.5 million-5 million,2020.0,https://butter.us/,
228,Arkyn.io,Denmark,"Arkyn is a B2B SaaS company providing a best-in-class iOS app suite and amazing mobile user experiences for enterprise SAP users. Easy to integrate – fast to get started.

For more than 15 years, the founders have been working with design thinking and mobile interfaces for SAP. Changing complex processes into safe, efficient, and intelligent user experiences. With this knowledge and experience, Arkyn was founded to help SAP customers optimize processes and save thousands of hours.
Arkyn’s HQ is located in the heart of Copenhagen but has several employees based around Europe. The company was founded in 2020.",Copenhagen,"B2B, Apps, Enterprise Applications, ERP, SaaS",Between €2.5 million-5 million,2020.0,https://www.arkyn.io/,
239,Wult,Denmark,Accessible self serve data governance,Copenhagen,"Data Analysis, Data, Data Visualization, Data Security, Data Analytics, Data Processing, Data Integration, Data Transfer",,2020.0,https://www.wult.io,
242,Buump Maternity,Denmark,"Buump.com is a Danish webshop for pregnant and new mothers. We have a large selection of quality products for pregnancy, childbirth and childbirth. We usually ship the same day when ordering before 12 on weekdays.  We are a Danish webshop. Your order is handled in Denmark according to Danish rules. We respond quickly to customer inquiries and always within 24 hours.",Klampenborg,"E-Commerce, Retail, Shopping, Wholesale",No funding announced yet,2020.0,https://buump.com/,
243,DreamHack Sports Games,Denmark,"25 years after DreamHack was founded and brought gamers together to the first LAN Party we have now founded the company DreamHack Sports Games. As one of the pioneers in social and competitive gaming we have taken an active part in the rise of esports. Professional esports have for the first decades been concentrated around titles within the game genres Fighting , First Person Shooter (FPS), Real Time Strategy (RTS) and Multiplayer Online Battle Arena (MOBA).

DreamHack Sports Games is concentrated about a fifth genre – Sport Games. There is a huge audience for the sports games, which are easy to understand with most of them created on the back of strong brands from traditional sports.

At DreamHack Sports Games we first and foremost care about the viewers. By creating strong media products around competitive gaming, we ensure that the leagues and tournaments we operate are attractive entertainment products which attract large audiences.",Copenhagen,"Gaming, Media and Entertainment, Sports",No funding announced yet,2020.0,https://dreamhacksportsgames.com/,
244,Helios Power Trading,Denmark,"Helios Power Trading is an energy trading company and accelerates green transition and transforms the energy market. Helios Power Trading is an energy trading company with a clear ambition. We are actively engaged in the European power markets in support of renewable energy distribution and market efficiency. To achieve our goals and build a sustainable platform for our company to grow, we are always developing and expanding the competences of our team and combining it with continuous leveraging of data and new technologies. 

We are hungry minds with a deep market knowledge and strong trading experience under one roof. Our sound financial structure gives us the economic foundation needed to invest in our future. Helios Power Trading is in it for the long run and committed to attain our place in the market and see our potential released.",Viby,"Energy, Energy Management, Renewable Energy",No funding announced yet,2020.0,https://heliospowertrading.com/,
245,Loomis Pay,Denmark,"Loomis Pay offers a complete end-to-end payment solution that helps merchants, restaurants and shops run and grow their business. The payment solution is the first comprehensive service that allow merchants to handle cash, cards and mobile payments through one single provider. Loomis Pay was founded in 2020 and is a wholly owned subsidiary of Loomis AB. The head office is in Stockholm and conducts operations in Denmark and Sweden. In January 2021, more than 500 merchants where connected to Loomis Pay.",Ballerup,"Financial Services, Mobile Payments, Payments",No funding announced yet,2020.0,https://loomispay.dk/,
246,Mindpool,Denmark,"Mindpool is built to help organizations collect, process, and act on the collective intelligence of employees. The research-backed platform is focused on providing intuitive and highly cost-effective access to predictions, insights, and suggestions from large crowds, which no other platform does today. Mindpool is on a mission to make collective intelligence accessible within arms reach for any organization, anywhere. Mindpool is a Copenhagen-based software company. We provide an intelligent platform for harnessing employee insights and collective intelligence in proactive companies to enable data-driven insights that empower decision-making and employee engagement.",Copenhagen,"Analytics, Data Visualization, Information Technology, SaaS",Between €1 million-€ 2.5 million,2020.0,https://mindpool.com,
247,Copenhagen Medical,Denmark,"Copenhagen Medical is an importer and distributor of SARS-CoV-2 test kits. The company operates a number of quick test centers in collaboration with the authorities. In addition, online and onsite training of inoculants is offered as well as outreach with mobile test units for inoculation of staff in nursing homes, residences, etc. in collaboration with the authorities.",Copenhagen,"Health Care, Medical, Medical Device",No funding announced yet,2020.0,http://www.cphmed.com/,
248,Omhu,Denmark,"Omhu is a Denmark-based digital health tech company. It was launched to develop new ways of supporting patients and doctors when diagnosing, managing, and treating skin conditions. Its software applications include Imagine, a skin-tracking mobile app that helps people document how skin condition changes over time. Omhu is an independent health tech company established by LEO Innovation Lab to rethink dermatology from a new perspective.

Understanding how and where technology can make the most impact is as much our concern as developing the technology itself. Combining science and technology, our focus areas include teledermatology and the use of artificial intelligence to diagnose, manage, and treat skin conditions. We’re working towards a world where everybody has access to a dermatologist when they need it most.",Copenhagen,"Health Care, Information Technology, Health Technology",No funding announced yet,2020.0,https://omhu.com/,
